Kp:	0.2	Ki:	0	Kd:	0.4
cte	steer_value
0.4513	-0.08398	19.7705
0.4255	-0.07478	19.4441
0.3966	-0.06776	19.7752
0.3654	-0.0606	19.4492
0.3319	-0.05298	19.7797
0.3086	-0.0524	19.7812
0.2725	-0.04006	19.4566
0.2476	-0.03956	19.4583
0.2093	-0.02654	19.7865
0.1704	-0.01852	19.4636
0.1445	-0.01854	19.4652
0.1324	-0.02164	19.7913
0.1633	-0.04502	19.4704
0.2502	-0.0848	19.7951
0.3433	-0.1059	19.4737
0.404	-0.10508	19.4736
0.4918	-0.13348	19.7956
0.548	-0.13208	19.7961
0.628	-0.1576	19.47
0.7033	-0.17078	19.7963
0.7502	-0.1688	19.7957
0.815	-0.18892	19.4647
0.8546	-0.18676	19.4639
0.908	-0.20296	19.7945
0.954	-0.2092	19.46
0.9804	-0.20664	19.4584
1.0132	-0.21576	19.7944
1.0378	-0.2174	19.4575
1.054	-0.21728	19.7956
1.0601	-0.21446	19.7964
1.0623	-0.21334	19.4572
1.056	-0.20868	19.7979
1.0473	-0.20598	19.7995
1.0277	-0.1977	19.4614
1	-0.18892	19.804
0.9841	-0.19046	19.8053
0.9759	-0.1919	19.4664
0.9838	-0.19992	19.8107
0.9862	-0.1982	19.8117
0.9834	-0.19556	19.4716
0.9772	-0.19296	19.4728
0.9614	-0.18596	19.815
0.9385	-0.17854	19.4766
0.9191	-0.17606	19.4789
0.8843	-0.16294	19.8193
0.8431	-0.15214	19.4857
0.8121	-0.15002	19.4883
0.7426	-0.12072	19.4935
0.7041	-0.12542	19.496
0.6426	-0.10392	19.8285
0.5771	-0.08922	19.5037
0.5075	-0.07366	19.8321
0.4351	-0.05806	19.5108
0.3854	-0.0572	19.5128
0.3526	-0.0574	19.8378
0.3577	-0.07358	19.5175
0.3911	-0.09158	19.8416
0.4141	-0.09202	19.8423
0.4457	-0.10178	19.522
0.4649	-0.10066	19.5229
0.4907	-0.10846	19.844
0.5128	-0.1114	19.5251
0.5254	-0.11012	19.5257
0.541	-0.11444	19.8467
0.5491	-0.11306	19.8475
0.5579	-0.1151	19.529
0.5626	-0.1144	19.8499
0.5632	-0.11288	19.532
0.5612	-0.11144	19.5331
0.555	-0.10852	19.8535
0.5486	-0.10716	19.8544
0.5358	-0.10204	19.5375
0.5191	-0.09714	19.8579
0.506	-0.09596	19.8592
0.4836	-0.08776	19.5419
0.4577	-0.08118	19.8633
0.4388	-0.0802	19.8648
0.4083	-0.06946	19.5465
0.3749	-0.06162	19.8682
0.3514	-0.06088	19.8694
0.3148	-0.04832	19.5518
0.2761	-0.03974	19.8729
0.2495	-0.03926	19.8739
0.2091	-0.02566	19.5569
0.1675	-0.01686	19.8769
0.1256	-0.00836	19.5605
0.0841	-0.00022	19.8796
0.0665	-0.00626	19.5636
0.0746	-0.01816	19.5645
0.1187	-0.04138	19.8828
0.1851	-0.06358	19.5677
0.229	-0.06336	19.5684
0.2932	-0.08432	19.8853
0.3347	-0.08354	19.8858
0.3943	-0.1027	19.5686
0.4513	-0.11306	19.887
0.4873	-0.11186	19.8869
0.5537	-0.1373	19.8869
0.5986	-0.13768	19.5684
0.626	-0.13616	19.5675
0.6626	-0.14716	19.8873
0.6841	-0.14542	19.8878
0.7032	-0.14828	19.8878
0.7273	-0.1551	19.567
0.7458	-0.15656	19.8891
0.7585	-0.15678	19.5677
0.7653	-0.15578	19.8901
0.7665	-0.15378	19.8905
0.7635	-0.1515	19.5698
0.7582	-0.14952	19.5702
0.7454	-0.14396	19.8935
0.7272	-0.13816	19.5733
0.7033	-0.1311	19.8967
0.6846	-0.12944	19.898
0.6527	-0.11778	19.5773
0.6288	-0.1162	19.5782
0.5981	-0.10734	19.903
0.5854	-0.112	19.904
0.5809	-0.11438	19.5843
0.5762	-0.11336	19.9068
0.5674	-0.10996	19.5879
0.5591	-0.1085	19.589
0.5434	-0.1024	19.9095
0.5239	-0.09698	19.5925
0.5006	-0.0908	19.9118
0.4832	-0.08968	19.9127
0.4545	-0.07942	19.5976
0.4336	-0.07836	19.5987
0.4	-0.06656	19.9164
