Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.2637	-0.03125	11.1969
0.2781	-0.03357	11.2924
0.2876	-0.03256	11.2663
0.3013	-0.03561	11.2935
0.3148	-0.03688	11.4404
0.3236	-0.03588	11.3017
0.3367	-0.03891	11.3801
0.3494	-0.04002	11.3275
0.3617	-0.04109	11.0601
0.3698	-0.04022	11.3465
0.3816	-0.04288	11.1379
0.3892	-0.04196	11.3366
0.4037	-0.04617	11.3138
0.4108	-0.04392	11.2356
0.4209	-0.04613	11.3229
0.4308	-0.04704	11.4111
0.4401	-0.04773	11.3519
0.4462	-0.04706	11.4431
0.4548	-0.04892	11.369
0.4603	-0.04823	11.498
0.468	-0.04988	11.3637
0.4753	-0.05045	11.0701
0.4821	-0.05093	11.2638
0.4863	-0.05031	11.1439
0.4923	-0.05163	11.3047
0.4978	-0.05198	11.3425
0.5028	-0.05228	11.4943
0.5058	-0.05178	11.3439
0.51	-0.05268	11.5348
0.5124	-0.0522	11.3478
0.5156	-0.05284	11.5424
0.5183	-0.05291	11.1906
0.5198	-0.05258	11.1263
0.5216	-0.05288	11.3049
0.5229	-0.05281	11.3602
0.5237	-0.05269	11.5197
0.524	-0.05252	11.4189
0.5239	-0.05235	11.5977
0.5235	-0.05219	11.4198
0.5226	-0.0519	11.1646
0.5211	-0.05151	11.315
0.5199	-0.05151	11.0998
0.5176	-0.05084	11.3075
0.5158	-0.05086	11.0506
0.5127	-0.05003	11.2631
0.5092	-0.04952	11.38
0.5053	-0.04897	11.5641
0.5009	-0.04833	11.433
0.4962	-0.04774	11.099
0.4928	-0.04792	11.433
0.4874	-0.04658	11.0353
0.4836	-0.04684	11.4533
0.4775	-0.04531	11.2078
0.471	-0.0445	11.3967
0.4642	-0.0437	11.5446
0.4596	-0.04412	11.3991
0.4547	-0.04351	11.3365
0.4472	-0.04172	11.4003
0.4392	-0.04072	11.6139
0.431	-0.03982	11.4567
0.4252	-0.0402	11.6143
0.4166	-0.03822	11.4534
0.4076	-0.03716	11.0959
0.4018	-0.03786	11.4689
0.3942	-0.03638	11.1844
0.3898	-0.03722	11.4602
0.3851	-0.03663	11.1123
0.3805	-0.03621	11.3019
0.3778	-0.0367	11.6554
0.3771	-0.03743	11.4215
0.3763	-0.03731	11.618
0.3753	-0.03713	11.4708
0.3745	-0.03713	11.5861
0.373	-0.0367	11.476
0.3713	-0.03645	11.0732
0.3699	-0.03643	11.4976
0.3676	-0.03584	11.1945
0.3661	-0.03601	11.0875
0.3635	-0.03531	11.3312
0.3606	-0.0349	11.6607
0.3576	-0.03456	11.4973
0.3555	-0.03471	11.6561
0.3531	-0.03435	11.6409
0.3496	-0.03356	11.249
0.3457	-0.03301	11.6243
0.3417	-0.03257	11.2002
0.3389	-0.03277	11.1796
