Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
1.2944	-0.192815	38.2812
1.4007	-0.290539	38.5062
1.4002	0.178947	38.6994
1.3726	0.0447287	38.7802
1.347	-0.0490892	38.8298
1.3195	-0.0428713	39.0385
1.2695	0.0548317	39.4521
1.2301	-0.0421601	39.7302
1.1887	-0.00949715	39.9986
1.1207	0.111593	40.4091
1.0717	-0.0290989	40.703
1.0236	0.0119322	40.9487
0.9099	0.320316	41.3407
0.818	0.0847644	41.6338
0.7338	0.103173	41.71
0.6192	0.275829	41.9415
0.5498	0.020024	42.1584
0.4916	0.0816256	42.2438
0.4183	0.194218	42.5564
0.3778	0.0248902	42.8149
0.348	0.0576025	42.9733
0.3187	0.0911949	43.3162
0.3086	0.0122307	43.582
0.3098	0.00749508	43.92
0.3204	-0.00603487	44.1725
0.3377	-0.0148955	44.4643
0.3745	-0.0900427	44.9054
0.4055	-0.0245002	45.1943
0.4565	-0.1325	45.5426
0.4932	-0.0324934	45.7813
0.5293	-0.0686517	45.9954
0.5789	-0.142657	46.3377
0.6085	-0.0318825	46.5821
0.6464	-0.122224	46.841
0.6679	-0.0414754	47.0433
0.6854	-0.0674471	47.2569
0.7049	-0.0949777	47.588
0.7134	-0.0477187	47.8233
0.717	-0.0555217	48.0315
0.7142	-0.0435717	48.3657
0.7071	-0.0424851	48.6005
0.6957	-0.0357907	48.8359
0.6712	0.0120866	49.1973
0.65	-0.0326679	49.4403
0.614	0.0412815	49.8278
0.5871	-0.0300706	50.0858
0.5597	-0.00617274	50.3258
0.5562	-0.111146	50.6895
