Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.7741	0.0255874	49.8842
0.7461	-0.0349687	49.92
0.7032	0.0597049	49.9732
0.6579	0.0428645	50.0268
0.6141	0.0338086	50.0759
0.5877	-0.0362405	50.1101
0.5527	0.0470425	50.1622
0.5111	0.0646236	50.2309
0.5146	-0.151028	50.2805
0.5539	-0.210676	50.3285
0.596	-0.139529	50.3479
0.6487	-0.183585	50.3615
0.6867	-0.103086	50.4027
0.7057	-0.059339	50.4377
0.7073	-0.0343213	50.4704
0.6959	-0.0234036	50.5219
0.6802	-0.0388144	50.556
0.6461	0.0321039	50.6065
0.6	0.0459924	50.6567
0.5463	0.0549334	50.7035
0.5086	-0.0301121	50.7339
0.4525	0.0948452	50.7792
0.3952	0.068685	50.827
0.3416	0.055158	50.8666
0.2966	0.033321	50.9111
0.2614	0.0173556	50.9575
0.2362	0.00263841	51.005
0.2209	-0.0126429	51.0529
0.2158	-0.031286	51.0846
0.2285	-0.0856422	51.1317
0.3368	-0.478403	51.1781
0.5614	-0.798013	51.2198
0.701	-0.162971	51.1347
0.8742	-0.521769	50.8872
1.008	-0.314249	50.8949
1.0885	-0.189628	50.782
1.1065	-0.0588775	50.7967
1.0681	0.0305193	50.8492
0.9828	0.100049	50.901
0.9567	-0.279086	50.9424
1.0783	-0.817819	50.9695
