Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.0363	-0.0693661	43.7331
0.0515	-0.0445402	43.769
0.0505	-0.0208781	43.8046
0.0354	0.000905659	43.8395
0.0088	0.0189817	43.8734
-0.0262	0.0318775	43.9063
-0.0527	-0.0222972	43.9276
-0.0948	0.0720245	43.9588
-0.1223	-0.0212826	43.9916
-0.0701	-0.345562	44.0188
0.0089	-0.285537	44.0507
0.0703	-0.141602	43.9756
0.0951	-0.0226681	43.9593
0.1134	-0.0878049	43.9876
0.1156	-0.041404	44.0198
0.1025	-0.0128211	44.0524
0.0753	0.0137596	44.0858
0.051	-0.0311281	44.1074
0.0083	0.0606607	44.1381
-0.0416	0.0581845	44.17
-0.0768	-0.0194514	44.1876
-0.1287	0.0964356	44.215
-0.181	0.0717977	44.246
-0.2141	-0.00864839	44.261
-0.2309	-0.0303642	44.2882
-0.1221	-0.553907	44.3189
-0.0054	-0.309158	44.3489
0.0928	-0.204028	44.1705
0.159	-0.118128	44.1324
0.1957	-0.0765539	44.1536
0.2059	-0.040377	44.1761
0.2627	-0.323553	44.21
0.4915	-1.01114	44.2426
0.6339	-0.248679	44.2178
0.806	-0.583396	43.9444
0.8942	-0.182179	43.9058
0.9742	-0.359165	43.7567
0.999	-0.162933	43.7915
0.9687	-0.0549922	43.7889
0.8873	0.0375822	43.8304
0.7665	0.0959379	43.8683
0.6906	-0.19183	43.8841
0.779	-0.827706	43.8973
0.8586	-0.410486	43.8988
0.9383	-0.417573	43.6423
0.9606	-0.174623	43.5645
0.9446	-0.144501	43.5133
0.8776	-0.0154174	43.5514
0.8442	-0.287519	43.592
1.0042	-1.09291	43.6161
1.2591	-1.09418	43.6119
1.4544	-0.614278	43.3288
1.5753	-0.438907	43.0026
1.6097	-0.261334	42.8826
1.5959	-0.275298	42.8813
1.513	-0.0973042	42.9333
1.3666	0.0264824	42.978
1.2389	-0.200276	43.014
1.1073	-0.132134	43.0421
1.1223	-0.78312	43.0582
1.1272	-0.397789	43.0968
1.0865	-0.191508	42.8504
1.0234	-0.193788	42.7958
0.8859	0.0901157	42.8354
0.7019	0.142742	42.8748
0.5616	-0.1481	42.8841
0.3514	0.286911	42.8871
0.3015	-0.559577	42.9058
0.2976	-0.393324	42.871
